category	author	title	type	collection	year	course
Required	"[{:family=>""Roy"", :given=>""Bernard""}]"	Multicriteria Methodology for Decision Aiding			1996	159
Required	"[{:family=>""Dehghan-Manshadi"", :given=>""B.""}, {:family=>""Mahmudi"", :given=>""H.""}, {:family=>""Abedian"", :given=>""A.""}, {:family=>""Mahmudi"", :given=>""R.""}]"	A novel method for materials selection in mechanical design: Combination of non-linear normalization and a modified digital logic method	article-journal	Materials and Design	2007	159
Required	"[{:family=>""Sirisalee"", :given=>""P.""}, {:family=>""Ashby"", :given=>""M.F.""}, {:family=>""Parks"", :given=>""G.T.""}, {:family=>""Clarkson"", :given=>""P.J.""}]"	Multi-criteria material selection of monolithic and multi-materials in engineering design	article-journal	Advanced Engineering Materials	2006	159
Required	"[{:family=>""Rao"", :given=>""R.V.""}]"	A material selection model using graph theory and matrix approach	article-journal	Materials Science and Engineering A	2006	159
Required	"[{:family=>""Milani"", :given=>""A.S.""}, {:family=>""Shanian"", :given=>""A.""}, {:family=>""Madoliat"", :given=>""R.""}, {:family=>""Nemes"", :given=>""J.A.""}]"	The effect of normalization norms in multiple attribute decision making (MADM) models: A case study in gear material selection	article-journal	Structural and Multidisciplinary Optimization	2005	159
Required	"[{:family=>""Milani"", :given=>""A.S.""}, {:family=>""El-Lahham"", :given=>""C.""}, {:family=>""Nemes"", :given=>""J.A.""}]"	Different approaches in multiple-criteria optimization using the Taguchi Method: A case study in a cold heading process	article-journal	Journal of Advanced Manufacturing Systems	2004	159
Required	"[{:family=>""Niemira"", :given=>""M.P.""}, {:family=>""Saaty"", :given=>""T.L.""}]"	An Analytic Network Process model for financial-crisis forecasting	article-journal	International Journal of Forecasting	2004	159
Required	"[{:family=>""Figueira"", :given=>""J.""}, {:family=>""Roy"", :given=>""B.""}]"	Determining the weights of criteria in the ELECTRE type methods with a revised Simos’ procedure	article-journal	European Journal of Operational Research	2002	159
Required	"[{:family=>""Roth"", :given=>""R.F.""}, {:family=>""Field"", :given=>""F.""}, {:family=>""Clark"", :given=>""J.""}]"	Materials Selection and Multi-Attribute Utility Analysis	article-journal	Journal of Computer-Aided Materials Design	1994	159
Required	"[{:family=>""Mathews"", :given=>""J.H.""}, {:family=>""Fink"", :given=>""K.D.""}]"	Numerical Methods Using MATLAB®			1998	158
Required	"[{:family=>""Vogel"", :given=>""Steven""}]"	Cats’ Paws and Catapults: Mechanical Worlds of Nature and People			2000	164
Required	"[{:family=>""Triantafyllou"", :given=>""Michael S.""}, {:family=>""Triantafyllou"", :given=>""George S.""}]"	An Efficient Swimming Machine	article-journal	Scientific American	1995	164
Required	"[{:family=>""Taylor"", :given=>""Graham K.""}, {:family=>""Nudds"", :given=>""Robert L.""}, {:others=>true}]"	Flying and Swimming Animals Cruise at a Strouhal Number Tuned for High Power Efficiency	article-journal	Nature	2003	164
Required	"[{:family=>""Holland"", :given=>""John H.""}]"	Genetic Algorithms	article-journal	Scientific American	1992	164
Required	"[{:family=>""Carpenter"", :given=>""Jennifer""}]"	May the Best Analyst Win	article-journal	Science	2011	164
Required	"[{:family=>""Woolley"", :given=>""Anita Williams""}, {:family=>""Chabris"", :given=>""Christopher F.""}, {:others=>true}]"	Evidence for a Collective Intelligence Factor in the Performance of Human Groups	article-journal	Science	2010	164
Required	"[{:family=>""Chittka"", :given=>""Lars""}, {:family=>""Mesoudi"", :given=>""Alex""}]"	Insect Swarm Intelligence	article-journal	Science	2011	164
Required	"[{:family=>""Hibbeler"", :given=>""R.C.""}]"	Mechanics of Materials			2004	65
Optional	"[{:family=>""Crandall"", :given=>""S.H.""}, {:family=>""Dahl"", :given=>""N.C.""}, {:family=>""Lardner"", :given=>""T.J.""}]"	An Introduction to the Mechanics of Solids			1979	65
Required	"[{:family=>""Madigan"", :given=>""M.""}, {:family=>""Martinko"", :given=>""J.""}, {:family=>""Parker"", :given=>""J.""}]"	Brock Biology of Microorganisms			2002	59
Required	"[{:family=>""book"", :given=>""The"", :particle=>""draft of the""}, {:family=>""Peña-Mora"", :given=>""F.""}, {:family=>""Anumba"", :given=>""C.""}, {:family=>""Lyneis"", :given=>""J.""}, {:family=>""Soibelman"", :given=>""L.""}, {:family=>""Park"", :given=>""M.""}, {:family=>""Samii"", :given=>""M.""}, {:family=>""Kalligeros"", :given=>""K.""}]"	System and Project Management	chapter	MIT/Prentice Hall Textbook Series on Civil		9
Required	"[{:family=>""Hendrickson"", :given=>""Chris""}]"	Project Management for Construction				9
Required	"[{:family=>""O’Leary""}, {:given=>""Acret""}]"	Construction Nightmares	book		2001	9
Required	"[{:family=>""Hendrickson"", :given=>""Chris""}]"	Chapter 1 in Project Management for Construction				9
Required	"[{:family=>""Peña-Mora"", :given=>""F.""}, {:family=>""Anumba"", :given=>""C.""}, {:family=>""Lyneis"", :given=>""J.""}, {:family=>""Soibelman"", :given=>""L.""}, {:family=>""Park"", :given=>""M.""}, {:family=>""Samii"", :given=>""M.""}, {:family=>""Kalligeros"", :given=>""K.""}]"	Engineering Economy with Uncertainity	chapter	System and Project Management. MIT/Prentice Hall Textbook Series on Civil		9
Required	"[{:family=>""Peña-Mora"", :given=>""F.""}, {:family=>""Anumba"", :given=>""C.""}, {:family=>""Lyneis"", :given=>""J.""}, {:family=>""Soibelman"", :given=>""L.""}, {:family=>""Park"", :given=>""M.""}, {:family=>""Samii"", :given=>""M.""}, {:family=>""Kalligeros"", :given=>""K.""}]"	Project Participants	chapter	System and Project Management. MIT/Prentice Hall Textbook Series on Civil		9
Required	"[{:family=>""Peña-Mora"", :given=>""F.""}, {:family=>""Anumba"", :given=>""C.""}, {:family=>""Lyneis"", :given=>""J.""}, {:family=>""Soibelman"", :given=>""L.""}, {:family=>""Park"", :given=>""M.""}, {:family=>""Samii"", :given=>""M.""}, {:family=>""Kalligeros"", :given=>""K.""}]"	Estimating	chapter	System and Project Management. MIT/Prentice Hall Textbook Series on Civil		9
Required	"[{:family=>""Peña-Mora"", :given=>""F.""}, {:family=>""Anumba"", :given=>""C.""}, {:family=>""Lyneis"", :given=>""J.""}, {:family=>""Soibelman"", :given=>""L.""}, {:family=>""Park"", :given=>""M.""}, {:family=>""Samii"", :given=>""M.""}, {:family=>""Kalligeros"", :given=>""K.""}]"	Project Planning	chapter	System and Project Management. MIT/Prentice Hall Textbook Series on Civil		9
Required	"[{:family=>""Peña-Mora"", :given=>""F.""}, {:family=>""Anumba"", :given=>""C.""}, {:family=>""Lyneis"", :given=>""J.""}, {:family=>""Soibelman"", :given=>""L.""}, {:family=>""Park"", :given=>""M.""}, {:family=>""Samii"", :given=>""M.""}, {:family=>""Kalligeros"", :given=>""K.""}]"	Performance Analysis	chapter	System and Project Management. MIT/Prentice Hall Textbook Series on Civil		9
Required	"[{:family=>""Peña-Mora"", :given=>""F.""}, {:family=>""Anumba"", :given=>""C.""}, {:family=>""Lyneis"", :given=>""J.""}, {:family=>""Soibelman"", :given=>""L.""}, {:family=>""Park"", :given=>""M.""}, {:family=>""Samii"", :given=>""M.""}, {:family=>""Kalligeros"", :given=>""K.""}]"	Control Actions	chapter	System and Project Management. MIT/Prentice Hall Textbook Series on Civil		9
Required	"[{:family=>""Peña-Mora"", :given=>""F.""}, {:family=>""Anumba"", :given=>""C.""}, {:family=>""Lyneis"", :given=>""J.""}, {:family=>""Soibelman"", :given=>""L.""}, {:family=>""Park"", :given=>""M.""}, {:family=>""Samii"", :given=>""M.""}, {:family=>""Kalligeros"", :given=>""K.""}]"	Project Dynamics	chapter	System and Project Management. MIT/Prentice Hall Textbook Series on Civil		9
Required	"[{:family=>""Peña-Mora"", :given=>""F.""}, {:family=>""Anumba"", :given=>""C.""}, {:family=>""Lyneis"", :given=>""J.""}, {:family=>""Soibelman"", :given=>""L.""}, {:family=>""Park"", :given=>""M.""}, {:family=>""Samii"", :given=>""M.""}, {:family=>""Kalligeros"", :given=>""K.""}]"	Project Reviews	chapter	System and Project Management. MIT/Prentice Hall Textbook Series on Civil		9
Required	"[{:family=>""Peña-Mora"", :given=>""F.""}, {:family=>""Anumba"", :given=>""C.""}, {:family=>""Lyneis"", :given=>""J.""}, {:family=>""Soibelman"", :given=>""L.""}, {:family=>""Park"", :given=>""M.""}, {:family=>""Samii"", :given=>""M.""}, {:family=>""Kalligeros"", :given=>""K.""}]"	Project Closeout	chapter	System and Project Management. MIT/Prentice Hall Textbook Series on Civil		9
Optional	"[{:family=>""Schtub"", :given=>""A.""}, {:family=>""Bard"", :given=>""J.""}, {:family=>""Globerson"", :given=>""S.""}]"	Project Management: Engineering Technology			1994	9
Optional	"[{:family=>""Iansiti"", :given=>""M.""}, {:family=>""MacCormack"", :given=>""A.""}]"	Developing Products on Internet Time			1997	9
Optional	"[{:family=>""al"", :given=>""Ward"", :particle=>""et.""}]"	The Second Toyota Paradox: How Delaying Decisions Can Make Better Cars Faster	article-journal	Sloan Management Review	1995	9
